zend_version,Environment
func_num_args,Function
func_get_arg,Function
func_get_args,Function
strlen,String
strcmp,String
strncmp,String
strcasecmp,String
strncasecmp,String
each,Iterable
error_reporting,Error Handling
define,Variable
defined,Variable
get_class,Object-oriented notation
get_called_class,Object-oriented notation
get_parent_class,Object-oriented notation
method_exists,Object-oriented notation
property_exists,Object-oriented notation
class_exists,Object-oriented notation
interface_exists,Object-oriented notation
trait_exists,Object-oriented notation
function_exists,Function
class_alias,Object-oriented notation
get_included_files,Dependency
get_required_files,Dependency
is_subclass_of,Object-oriented notation
is_a,Iterable
get_class_vars,Object-oriented notation
get_object_vars,Object-oriented notation
get_class_methods,Object-oriented notation
trigger_error,Error Handling
user_error,Error Handling
set_error_handler,Error Handling
restore_error_handler,Error Handling
set_exception_handler,Error Handling
restore_exception_handler,Error Handling
get_declared_classes,Object-oriented notation
get_declared_traits,Object-oriented notation
get_declared_interfaces,Object-oriented notation
get_defined_functions,Function
get_defined_vars,Variable
create_function,Function
get_resource_type,Dependency
get_resources,Dependency
get_loaded_extensions,Dependency
extension_loaded,Dependency
get_extension_funcs,Function
get_defined_constants,Variable
debug_backtrace,Debug
debug_print_backtrace,Debug
gc_mem_caches,Garbage Collection
gc_collect_cycles,Garbage Collection
gc_enabled,Garbage Collection
gc_enable,Garbage Collection
gc_disable,Garbage Collection
strtotime,Datetime
date,Datetime
idate,Datetime
gmdate,Datetime
mktime,Datetime
gmmktime,Datetime
checkdate,Datetime
strftime,Datetime
gmstrftime,Datetime
time,Datetime
localtime,Datetime
getdate,Datetime
date_create,Datetime
date_create_immutable,Datetime
date_create_from_format,Datetime
date_create_immutable_from_format,Datetime
date_parse,Datetime
date_parse_from_format,Datetime
date_get_last_errors,Datetime
date_format,Datetime
date_modify,Datetime
date_add,Datetime
date_sub,Datetime
date_timezone_get,Datetime
date_timezone_set,Datetime
date_offset_get,Datetime
date_diff,Datetime
date_time_set,Datetime
date_date_set,Datetime
date_isodate_set,Datetime
date_timestamp_set,Datetime
date_timestamp_get,Datetime
timezone_open,Datetime
timezone_name_get,Datetime
timezone_name_from_abbr,Datetime
timezone_offset_get,Datetime
timezone_transitions_get,Datetime
timezone_location_get,Datetime
timezone_identifiers_list,Datetime
timezone_abbreviations_list,Datetime
timezone_version_get,Datetime
date_interval_create_from_date_string,Datetime
date_interval_format,Datetime
date_default_timezone_set,Datetime
date_default_timezone_get,Datetime
